Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings_0_Source,Ratings_0_Value,Ratings_1_Source,Ratings_1_Value,Ratings_2_Source,Ratings_2_Value,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Scarface,1983,R,9-Dec-83,170 min,"Crime, Drama",Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht","Al Pacino, Michelle Pfeiffer, Steven Bauer","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","English, Spanish",United States,8 nominations,https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,81%,Metacritic,65/100,65,8.3,"803,344",tt0086250,movie,30-Sep-03,"$45,408,703 ",,,TRUE
Come and See,1985,Not Rated,3-Sep-85,142 min,"Drama, Thriller, War",Elem Klimov,"Ales Adamovich, Elem Klimov","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Russian, Belarusian, German",Soviet Union,3 wins,https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.4/10,Rotten Tomatoes,97%,,,,8.4,"73,245",tt0091251,movie,22-Mar-07,"$71,909 ",,,TRUE
Double Indemnity,1944,Passed,6-Jul-44,107 min,"Crime, Drama, Film-Noir",Billy Wilder,"Billy Wilder, Raymond Chandler, James M. Cain","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",English,United States,Nominated for 7 Oscars. 2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,97%,Metacritic,95/100,95,8.3,"153,321",tt0036775,movie,29-Aug-06,,,,TRUE
The Apartment,1960,Approved,29-Jun-60,125 min,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",English,United States,Won 5 Oscars. 24 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,93%,Metacritic,94/100,94,8.3,"177,131",tt0053604,movie,4-Mar-08,"$18,600,000 ",,,TRUE
Taxi Driver,1976,R,9-Feb-76,114 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","English, Spanish",United States,Nominated for 4 Oscars. 22 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,96%,Metacritic,94/100,94,8.2,"789,137",tt0075314,movie,14-Aug-07,"$28,262,574 ",,,TRUE
To Kill a Mockingbird,1962,Approved,16-Mar-63,129 min,"Crime, Drama",Robert Mulligan,"Harper Lee, Horton Foote","Gregory Peck, John Megna, Frank Overton","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",English,United States,Won 3 Oscars. 14 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,93%,Metacritic,88/100,88,8.3,"309,885",tt0056592,movie,28-Apr-98,"$592,237 ",,,TRUE
The Sting,1973,PG,25-Dec-73,129 min,"Comedy, Crime, Drama",George Roy Hill,David S. Ward,"Paul Newman, Robert Redford, Robert Shaw",Two grifters team up to pull off the ultimate con.,English,United States,Won 7 Oscars. 18 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNGU3NjQ4YTMtZGJjOS00YTQ3LThmNmItMTI5MDE2ODI3NzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,94%,Metacritic,83/100,83,8.3,"255,692",tt0070735,movie,31-Mar-98,"$156,000,000 ",,,TRUE
Up,2009,PG,29-May-09,96 min,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",English,United States,Won 2 Oscars. 79 wins & 87 nominations total,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,98%,Metacritic,88/100,88,8.2,"1,005,054",tt1049413,movie,10-Nov-09,"$293,004,164 ",,,TRUE
L.A. Confidential,1997,R,19-Sep-97,138 min,"Crime, Drama, Mystery",Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson","Kevin Spacey, Russell Crowe, Guy Pearce","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",English,United States,Won 2 Oscars. 92 wins & 86 nominations total,https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,99%,Metacritic,90/100,90,8.2,"568,238",tt0119488,movie,23-Sep-08,"$64,616,940 ",,,TRUE
Hamilton,2020,PG-13,3-Jul-20,160 min,"Biography, Drama, History",Thomas Kail,"Lin-Manuel Miranda, Ron Chernow","Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",English,United States,Won 1 Primetime Emmy. 18 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,Internet Movie Database,8.4/10,Rotten Tomatoes,98%,Metacritic,90/100,90,8.4,"84,926",tt8503618,movie,3-Jul-20,,,,TRUE
Heat,1995,R,15-Dec-95,170 min,"Action, Crime, Drama",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"English, Spanish",United States,14 nominations,https://m.media-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,87%,Metacritic,76/100,76,8.3,"629,391",tt0113277,movie,27-Jul-99,"$67,436,818 ",,,TRUE
Ikiru,1952,Not Rated,25-Mar-56,143 min,Drama,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Japanese,Japan,Nominated for 1 BAFTA Film Award5 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZTdkN2E5OTYtN2FiMi00YWUwLWEzMGMtZTMzNjY0NjgzYzFiXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,98%,Metacritic,91/100,91,8.3,"76,069",tt0044741,movie,6-Jan-04,"$60,239 ",,,TRUE
Snatch,2000,R,19-Jan-01,102 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","English, Russian","United Kingdom, United States",4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,74%,Metacritic,55/100,55,8.3,"832,177",tt0208092,movie,6-May-03,"$30,328,156 ",,,TRUE
Die Hard,1988,R,20-Jul-88,132 min,"Action, Thriller",John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza","Bruce Willis, Alan Rickman, Bonnie Bedelia",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"English, German, Italian, Japanese",United States,Nominated for 4 Oscars. 8 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,94%,Metacritic,72/100,72,8.3,"852,623",tt0095016,movie,28-Dec-99,"$83,844,093 ",,,TRUE
Indiana Jones and the Last Crusade,1989,PG-13,24-May-89,127 min,"Action, Adventure",Steven Spielberg,"Jeffrey Boam, George Lucas, Menno Meyjes","Harrison Ford, Sean Connery, Alison Doody","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","English, German, Greek, Arabic",United States,Won 1 Oscar. 8 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,88%,Metacritic,65/100,65,8.3,"734,249",tt0097576,movie,13-May-08,"$197,171,806 ",,,TRUE
A Separation,2011,PG-13,16-Mar-11,123 min,Drama,Asghar Farhadi,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Persian,"Iran, France, Australia",Won 1 Oscar. 89 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,99%,Metacritic,95/100,95,8.3,"239,750",tt1832382,movie,21-Aug-12,"$7,099,055 ",,,TRUE
Metropolis,1927,Not Rated,13-Mar-27,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou, Fritz Lang","Brigitte Helm, Alfred Abel, Gustav Fröhlich","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","German, English",Germany,6 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,97%,Metacritic,98/100,98,8.3,"170,498",tt0017136,movie,22-Mar-07,"$1,236,166 ",,,TRUE
Bicycle Thieves,1948,Not Rated,13-Dec-49,89 min,Drama,Vittorio De Sica,"Cesare Zavattini, Luigi Bartolini, Oreste Biancoli","Lamberto Maggiorani, Enzo Staiola, Lianella Carell","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","Italian, English, German",Italy,Won 1 Oscar. 20 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,99%,,,,8.3,"159,912",tt0040522,movie,12-Aug-03,"$371,111 ",,,TRUE
Incendies,2010,R,12-Jan-11,131 min,"Drama, Mystery, War",Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"French, Arabic, English","Canada, France",Nominated for 1 Oscar. 40 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,92%,Metacritic,80/100,80,8.3,"170,523",tt1255953,movie,15-Mar-11,"$2,071,334 ",,,TRUE
1917,2019,R,10-Jan-20,119 min,"Action, Drama, War",Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","English, French, German","United Kingdom, United States, India, Spain",Won 3 Oscars. 134 wins & 206 nominations total,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,88%,Metacritic,78/100,78,8.3,"540,419",tt8579674,movie,25-Dec-19,"$159,227,644 ",,,TRUE
Like Stars on Earth,2007,PG,21-Dec-07,165 min,"Drama, Family","Aamir Khan, Amole Gupte",Amole Gupte,"Darsheel Safary, Aamir Khan, Tisca Chopra","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Hindi,India,23 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.4/10,Rotten Tomatoes,92%,,,,8.4,"186,810",tt0986264,movie,12-Jan-10,"$1,223,869 ",,,TRUE
Batman Begins,2005,PG-13,15-Jun-05,140 min,"Action, Crime, Drama",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan","Christian Bale, Michael Caine, Ken Watanabe","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","English, Mandarin","United States, United Kingdom",Nominated for 1 Oscar. 13 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,84%,Metacritic,70/100,70,8.3,"1,407,083",tt0372784,movie,18-Oct-05,"$206,863,479 ",,,TRUE
For a Few Dollars More,1965,R,10-May-67,132 min,Western,Sergio Leone,"Sergio Leone, Fulvio Morsella, Luciano Vincenzoni","Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,"Italian, English","Italy, Spain, West Germany",2 nominations,https://m.media-amazon.com/images/M/MV5BNWM1NmYyM2ItMTFhNy00NDU0LThlYWUtYjQyYTJmOTY0ZmM0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,91%,Metacritic,74/100,74,8.3,"249,702",tt0059578,movie,1-Aug-06,"$15,000,000 ",,,TRUE
Dangal,2016,Not Rated,21-Dec-16,161 min,"Action, Biography, Drama",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Hindi, English","India, United States",29 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,Internet Movie Database,8.4/10,Rotten Tomatoes,88%,,,,8.4,"180,533",tt5074352,movie,22-Jun-17,"$12,391,761 ",,,TRUE
Downfall,2004,R,8-Apr-05,156 min,"Biography, Drama, History",Oliver Hirschbiegel,"Bernd Eichinger, Joachim Fest, Traudl Junge","Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","German, Russian, French, English","Germany, Austria, Italy",Nominated for 1 Oscar. 22 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,90%,Metacritic,82/100,82,8.2,"348,764",tt0363163,movie,2-Aug-05,"$5,509,040 ",,,TRUE
The Kid,1921,Passed,6-Feb-21,68 min,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,100%,,,,8.3,"123,829",tt0012349,movie,1-May-05,,,,TRUE
Some Like It Hot,1959,Passed,19-Mar-59,121 min,"Comedy, Music, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond, Robert Thoeren","Marilyn Monroe, Tony Curtis, Jack Lemmon","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",English,United States,Won 1 Oscar. 15 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,94%,Metacritic,98/100,98,8.2,"260,808",tt0053291,movie,18-Jul-06,,,,TRUE
The Batman,2022,PG-13,4-Mar-22,176 min,"Action, Crime, Drama",Matt Reeves,"Matt Reeves, Peter Craig, Bill Finger","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_SX300.jpg,Internet Movie Database,8.4/10,Rotten Tomatoes,85%,Metacritic,72/100,72,8.4,"224,141",tt1877830,movie,19-Apr-22,"$239,032,047 ",,,TRUE
The Father,2020,PG-13,26-Feb-21,97 min,"Drama, Mystery",Florian Zeller,"Christopher Hampton, Florian Zeller","Anthony Hopkins, Olivia Colman, Mark Gatiss","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",English,"United Kingdom, France, United States",Won 2 Oscars. 34 wins & 157 nominations total,https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,98%,Metacritic,88/100,88,8.3,"129,963",tt10272386,movie,25-Mar-21,"$2,122,771 ",,,TRUE
All About Eve,1950,Passed,27-Oct-50,138 min,Drama,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"English, French",United States,Won 6 Oscars. 26 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg,Internet Movie Database,8.3/10,Rotten Tomatoes,99%,Metacritic,98/100,98,8.3,"128,939",tt0042192,movie,5-Feb-04,"$63,463 ",,,TRUE
The Wolf of Wall Street,2013,R,25-Dec-13,180 min,"Biography, Comedy, Crime",Martin Scorsese,"Terence Winter, Jordan Belfort","Leonardo DiCaprio, Jonah Hill, Margot Robbie","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","English, French",United States,Nominated for 5 Oscars. 37 wins & 179 nominations total,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,79%,Metacritic,75/100,75,8.2,"1,327,178",tt0993846,movie,25-Mar-14,"$116,900,694 ",,,TRUE
Green Book,2018,PG-13,16-Nov-18,130 min,"Biography, Comedy, Drama",Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly","Viggo Mortensen, Mahershala Ali, Linda Cardellini",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"English, Italian, Russian, German","United States, China",Won 3 Oscars. 59 wins & 124 nominations total,https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,Internet Movie Database,8.2/10,Rotten Tomatoes,77%,Metacritic,69/100,69,8.2,"456,971",tt6966692,movie,12-Mar-19,"$85,080,171 ",,,TRUE
